"severity","condition","published","Architecture","Title","Version","updated","Name","cve","detection_time","cvss2_score","cvss3_score","external_references"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-36913 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-36913","2023-09-10T01:29:45+00:00",0,7.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36913"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36913""]"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-36912 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-36912","2023-09-10T01:29:45+00:00",0,7.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36912"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36912""]"
"Critical","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-36911 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-36911","2023-09-10T01:29:45+00:00",0,9.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36911"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36911""]"
"Critical","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-36910 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-36910","2023-09-10T01:29:45+00:00",0,9.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36910"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36910""]"
"Medium","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-36909 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-36909","2023-09-10T01:29:45+00:00",0,6.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36909"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36909""]"
"Medium","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-36908 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-36908","2023-09-10T01:29:45+00:00",0,6.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36908"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36908""]"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-36907 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-36907","2023-09-10T01:29:45+00:00",0,7.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36907"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36907""]"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-36906 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-36906","2023-09-10T01:29:45+00:00",0,7.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36906"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36906""]"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-36904 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-36904","2023-09-10T01:29:45+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36904"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36904""]"
"Critical","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-36903 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-36903","2023-09-10T01:29:46+00:00",0,9.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36903"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36903""]"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-36900 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-36900","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36900"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36900""]"
"Medium","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-36889 affects Windows Server 2022","10.0.20348","2023-08-11","Windows Server 2022","CVE-2023-36889","2023-09-10T01:29:46+00:00",0,5.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36889"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36889""]"
"High","KB5029250 patch is not installed","2023-07-11","x64","CVE-2023-36884 affects Windows Server 2022","10.0.20348","2023-08-08","Windows Server 2022","CVE-2023-36884","2023-09-10T01:29:46+00:00",0,7.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36884"",""http://seclists.org/fulldisclosure/2023/Jul/43"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36884""]"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-36882 affects Windows Server 2022","10.0.20348","2023-08-11","Windows Server 2022","CVE-2023-36882","2023-09-10T01:29:46+00:00",0,8.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36882"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36882""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-36874 affects Windows Server 2022","10.0.20348","2023-07-19","Windows Server 2022","CVE-2023-36874","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36874"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36874""]"
"Medium","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-36871 affects Windows Server 2022","10.0.20348","2023-07-19","Windows Server 2022","CVE-2023-36871","2023-09-10T01:29:46+00:00",0,6.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36871"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36871""]"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-35386 affects Windows Server 2022","10.0.20348","2023-09-08","Windows Server 2022","CVE-2023-35386","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35386"",""http://packetstormsecurity.com/files/174567/Microsoft-Windows-Kernel-Integer-Overflow-Out-Of-Bounds-Read.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35386""]"
"Critical","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-35385 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-35385","2023-09-10T01:29:46+00:00",0,9.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35385"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35385""]"
"Medium","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-35384 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-35384","2023-09-10T01:29:46+00:00",0,6.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35384"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35384""]"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-35383 affects Windows Server 2022","10.0.20348","2023-08-11","Windows Server 2022","CVE-2023-35383","2023-09-10T01:29:46+00:00",0,7.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35383"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35383""]"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-35382 affects Windows Server 2022","10.0.20348","2023-09-02","Windows Server 2022","CVE-2023-35382","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35382"",""http://packetstormsecurity.com/files/174450/Microsoft-Windows-Kernel-Use-After-Free.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35382""]"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-35381 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-35381","2023-09-10T01:29:46+00:00",0,8.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35381"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35381""]"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-35380 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-35380","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35380"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35380""]"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-35378 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-35378","2023-09-10T01:29:46+00:00",0,7,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35378"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35378""]"
"Medium","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-35377 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-35377","2023-09-10T01:29:46+00:00",0,6.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35377"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35377""]"
"Medium","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-35376 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-35376","2023-09-10T01:29:46+00:00",0,6.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35376"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35376""]"
"Critical","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35367 affects Windows Server 2022","10.0.20348","2023-07-18","Windows Server 2022","CVE-2023-35367","2023-09-10T01:29:46+00:00",0,9.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35367"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35367""]"
"Critical","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35366 affects Windows Server 2022","10.0.20348","2023-07-18","Windows Server 2022","CVE-2023-35366","2023-09-10T01:29:46+00:00",0,9.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35366"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35366""]"
"Critical","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35365 affects Windows Server 2022","10.0.20348","2023-07-18","Windows Server 2022","CVE-2023-35365","2023-09-10T01:29:46+00:00",0,9.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35365"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35365""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35364 affects Windows Server 2022","10.0.20348","2023-07-18","Windows Server 2022","CVE-2023-35364","2023-09-10T01:29:46+00:00",0,8.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35364"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35364""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35363 affects Windows Server 2022","10.0.20348","2023-07-18","Windows Server 2022","CVE-2023-35363","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35363"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35363""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35362 affects Windows Server 2022","10.0.20348","2023-07-18","Windows Server 2022","CVE-2023-35362","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35362"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35362""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35361 affects Windows Server 2022","10.0.20348","2023-07-18","Windows Server 2022","CVE-2023-35361","2023-09-10T01:29:46+00:00",0,7,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35361"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35361""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35360 affects Windows Server 2022","10.0.20348","2023-07-18","Windows Server 2022","CVE-2023-35360","2023-09-10T01:29:46+00:00",0,7,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35360"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35360""]"
"High","KB5029250 patch is not installed","2023-08-08","x64","CVE-2023-35359 affects Windows Server 2022","10.0.20348","2023-09-06","Windows Server 2022","CVE-2023-35359","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35359"",""http://packetstormsecurity.com/files/174528/Microsoft-Windows-Privilege-Escalation.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35359""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35358 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-35358","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35358"",""http://packetstormsecurity.com/files/174117/Microsoft-Windows-Kernel-Unsafe-Reference.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35358""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35357 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-35357","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35357"",""http://packetstormsecurity.com/files/174116/Microsoft-Windows-Kernel-Unsafe-Reference.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35357""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35356 affects Windows Server 2022","10.0.20348","2023-08-10","Windows Server 2022","CVE-2023-35356","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35356"",""http://packetstormsecurity.com/files/174118/Microsoft-Windows-Kernel-Security-Descriptor-Use-After-Free.html"",""http://packetstormsecurity.com/files/174115/Microsoft-Windows-Kernel-Arbitrary-Read.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35356""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35353 affects Windows Server 2022","10.0.20348","2023-07-18","Windows Server 2022","CVE-2023-35353","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35353"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35353""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35352 affects Windows Server 2022","10.0.20348","2023-07-18","Windows Server 2022","CVE-2023-35352","2023-09-10T01:29:46+00:00",0,7.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35352"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35352""]"
"Medium","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35351 affects Windows Server 2022","10.0.20348","2023-07-19","Windows Server 2022","CVE-2023-35351","2023-09-10T01:29:46+00:00",0,6.6,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35351"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35351""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35350 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35350","2023-09-10T01:29:46+00:00",0,7.2,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35350"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35350""]"
"Medium","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35348 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35348","2023-09-10T01:29:46+00:00",0,6.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35348"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35348""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35347 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35347","2023-09-10T01:29:46+00:00",0,7.1,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35347"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35347""]"
"Medium","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35346 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35346","2023-09-10T01:29:46+00:00",0,6.6,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35346"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35346""]"
"Medium","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35345 affects Windows Server 2022","10.0.20348","2023-07-15","Windows Server 2022","CVE-2023-35345","2023-09-10T01:29:46+00:00",0,6.6,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35345"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35345""]"
"Medium","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35344 affects Windows Server 2022","10.0.20348","2023-07-15","Windows Server 2022","CVE-2023-35344","2023-09-10T01:29:46+00:00",0,6.6,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35344"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35344""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35343 affects Windows Server 2022","10.0.20348","2023-07-15","Windows Server 2022","CVE-2023-35343","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35343"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35343""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35342 affects Windows Server 2022","10.0.20348","2023-07-15","Windows Server 2022","CVE-2023-35342","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35342"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35342""]"
"Medium","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35341 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35341","2023-09-10T01:29:46+00:00",0,5.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35341"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35341""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35340 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35340","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35340"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35340""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35339 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35339","2023-09-10T01:29:46+00:00",0,7.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35339"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35339""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35338 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35338","2023-09-10T01:29:46+00:00",0,7.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35338"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35338""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35337 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35337","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35337"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35337""]"
"Medium","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35336 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35336","2023-09-10T01:29:46+00:00",0,5.4,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35336"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35336""]"
"Medium","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35332 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35332","2023-09-10T01:29:46+00:00",0,6.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35332"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35332""]"
"Medium","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35331 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35331","2023-09-10T01:29:46+00:00",0,6.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35331"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35331""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35330 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35330","2023-09-10T01:29:46+00:00",0,7.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35330"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35330""]"
"Medium","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35329 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35329","2023-09-10T01:29:46+00:00",0,6.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35329"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35329""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35328 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35328","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35328"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35328""]"
"Medium","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35326 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35326","2023-09-10T01:29:46+00:00",0,5.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35326"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35326""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35325 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35325","2023-09-10T01:29:46+00:00",0,7.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35325"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35325""]"
"Medium","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35324 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35324","2023-09-10T01:29:46+00:00",0,5.5,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35324"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35324""]"
"High","KB5028171 patch is not installed","2023-07-11","x64","CVE-2023-35323 affects Windows Server 2022","10.0.20348","2023-07-14","Windows Server 2022","CVE-2023-35323","2023-09-10T01:29:46+00:00",0,7.8,"[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35323"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35323""]"
